text,target,probs,cleaned_text
"jeez, this was immensely boring. the leading man (Christian Schoyen) has got to be the worst actor i have ever seen. and another thing, if the character in the movie moved to America when he was ten or something and had been living here for over 20 years, he would speak a lot better English than what he pulls of here. or to say it in my own Language ""Skikkelig gebrokkent"". But it is cool to see Norwegian dudes in a movie made in Hollywood. it was just a damn shame they were talentless hacks. The storyline itself is below mediocre. I have a suspicion that Christian Schoyen did this movie just to live the dream, as he clearly does in the film by humping one beautiful babe after another.",negative,0.799612407,jeez immensely boring leading man christian schoyen got worst actor ever seen another thing character movie moved america ten something living twenty year would speak lot better english pull say language skikkelig gebrokkent cool see norwegian dude movie made hollywood damn shame talentless hack storyline mediocre suspicion christian schoyen movie live dream clearly film humping one beautiful babe another
"Great just great! The West Coast got ""Dirty"" Harry Callahan, the East Coast got Sharky. Burt Reynolds plays Sharky in ""Sharky's Machine"" and I enjoyed every minute of it. Playing a maverick narcotics cop in Atlanta, GA is just what everyone wants. Instead of suspension, he's sent to vice squad. Like in the Dirty Harry movies or any other cop movies, the captain is always going to be the jerk. When I was a kid, I was curious what that movie meant ""Sharky's Machine"". Well I knew who played Sharky, I wonder what his machine was. It was his GROUP of fellow cops. After uncovering the murder, he goes all out to find the perp. When it turns out to be a big time mob boss, Sharky doesn't play around. When he gets the other prostitute into safety, Sharky fights back hard and good despite losing a finger to the thug. And I also like the part where the bad gets blown out of the building through a plate glass window. That was the BOMB! Randy Crawford's ""Street Life"" really put the movie in the right mood, and the movie itself is really a great hit to me, ALWAYS! Rating 4 out of 5 stars.",positive,0.706624762,great great west coast got dirty harry callahan east coast got sharky burt reynolds play sharky sharkys machine enjoyed every minute playing maverick narcotic cop atlanta ga everyone want instead suspension sent vice squad like dirty harry movie cop movie captain always going jerk kid curious movie meant sharkys machine well knew played sharky wonder machine group fellow cop uncovering murder go find perp turn big time mob bos sharky play around get prostitute safety sharky fight back hard good despite losing finger thug also like part bad get blown building plate glass window bomb randy crawford street life really put movie right mood movie really great hit always rating four five star
"It's made in 2007 and the CG is bad for a movie made in 1998. At one part in the movie there is a stop motion shot of a dinosaur that actually looks good, but this just makes the extremely amateur work on the CG stuff look even worse.<br /><br />The writing, acting, directing and everything else in this movie is just terrible. This is as bad as, if not worse than Raptor Island and 100 million BC... pure crap! Again, as with the other movies, the only scary part about this movie is that it actually got made and is now being aired on the sci-fi channel.<br /><br />I still can't understand how they somehow get people who do have some acting skills to act in these movies and then somehow get them to act as terrible as everyone else in the movie.<br /><br />For those of you who are unsure, the other poster is obviously being sarcastic in his review... or he is one of the people who worked on this movie.",negative,0.923729441,"made two thousand seven cg bad movie made one thousand , nine hundred ninety eight one part movie stop motion shot dinosaur actually look good make extremely amateur work cg stuff look even worsebr br writing acting directing everything else movie terrible bad worse raptor island one hundred million bc pure crap movie scary part movie actually got made aired scifi channelbr br still understand somehow get people acting skill act movie somehow get act terrible everyone else moviebr br unsure poster obviously sarcastic review one people worked movie"
"This movie stinks majorly. The only reason I gave it a 3 was because the graphics were semi charming. It's total disregard for a plot and the lack of even insubstantial surface character development made it seem like just a bunch of nice drawings. This is by far THE worse anime that came out of Japan. I can't believe they actually put their names on this garbage. What a rip off selling this thing for $20. If you haven't seen this don't bother. If you have, I pity you.",negative,0.828308376,movie stink majorly reason gave three graphic semi charming total disregard plot lack even insubstantial surface character development made seem like bunch nice drawing far worse anime came japan believe actually put name garbage rip selling thing twenty seen bother pity
"We can start with the wooden acting but this film is a disaster. Having grown up in NY I can tell you that this film is an insult to anyone who is familiar with the community or the people. I'm not even a defender of the culture in any way and found this to be a Hollywoodized piece of trash to fit its own fictional, ridiculous culture presentation and language that anyone who watches Seinfeld knows is inaccurate. This is a colossal waste of time and, even worse, is not exactly interesting since the outcome is obvious and the scenes of confrontation are laughably bad. Who acts this way? Nobody.<br /><br />The writer's name sounds Israeli or something of that nature but it is clear he doesn't have a clue about the subject he is writing about. Looking at his bio, it is shocking he lived in New York and wonder how much real connection he had with the community. Even mediocre films like ""A Stranger Among Us"" are better and more closer to the truth than this dreck. Reading this guy's credits it's no wonder he has written scripts on all C grade films that somehow feature stars. shocking. Perhaps he knows someone because this script is even below par for a bad Dolph Lundgren film.",negative,0.913292584,start wooden acting film disaster grown ny tell film insult anyone familiar community people even defender culture way found hollywoodized piece trash fit fictional ridiculous culture presentation language anyone watch seinfeld know inaccurate colossal waste time even worse exactly interesting since outcome obvious scene confrontation laughably bad act way nobodybr br writer name sound israeli something nature clear clue subject writing looking bio shocking lived new york wonder much real connection community even mediocre film like stranger among u better closer truth dreck reading guy credit wonder written script c grade film somehow feature star shocking perhaps know someone script even par bad dolph lundgren film
"This movie starts off somewhat slowly and gets running towards the end. Not that that is bad, it was done to illustrate character trait degression of the main character. Consequently, if you are not into tragedies, this is not your movie. It is the thought provoking philosophy of this movie that makes it worthwhile. If you liked Dostoyevsky's 'Crime and Punishment,"" you will probably like this if only for the comparisons. The intriguing question that the movie prompts is, ""What is it that makes a renowned writer completely disregard his publicly-aproved ideas for another set?"" The new ideas are quite opposed to the status quo-if you are a conservative you will not like this movie. <br /><br />Besides other philosophical questions, I must admit that the movie was quite aesthetically pleasing as well. The grassy hillsides and beautiful scenery helped me get past the slow start. Also, there was use of coloric symbolism in representing the mindstate of the main characters. If these sorts of things do not impress you, skip it. Overall I give this movie a 7.",positive,0.51187335,movie start somewhat slowly get running towards end bad done illustrate character trait degression main character consequently tragedy movie thought provoking philosophy movie make worthwhile liked dostoyevsky crime punishment probably like comparison intriguing question movie prompt make renowned writer completely disregard publiclyaproved idea another set new idea quite opposed status quoif conservative like movie br br besides philosophical question must admit movie quite aesthetically pleasing well grassy hillside beautiful scenery helped get past slow start also use coloric symbolism representing mindstate main character sort thing impress skip overall give movie seven
"This is a slightly uneven entry with one standout sequence involving an over-the-hill gang reminiscing in the diner that once - thirty years previously - was their hideout; one ho-hum duologue between two ageing rock musos; a noirish kidnap turned on its head and an opening sequence (plus epilogue) involving heist artist wannabe Edward Baer and current 'hot' property Anna Magloulis which has its moments. No movie in which Jean Rochefort appears can be dismissed lightly and here he shines as one of the over-the-hill quintet, indeed the film is worth seeing for Rochefort alone but each of the sequences has something to offer and it's definitely worth a look.",positive,0.540957894,slightly uneven entry one standout sequence involving overthehill gang reminiscing diner thirty year previously hideout one hohum duologue two ageing rock musos noirish kidnap turned head opening sequence plus epilogue involving heist artist wannabe edward baer current hot property anna magloulis moment movie jean rochefort appears dismissed lightly shine one overthehill quintet indeed film worth seeing rochefort alone sequence something offer definitely worth look
"I was first introduced to John Waters films by seeing ""Female trouble"" on IFC. I was disgusted but for some sick reason i enjoyed it. Then, i picked up the Pink Flamingos DVD in the John Waters Boxed Set. The movie is about Babs Johnson ""The Filthiest Person Alive"" who lives in a trailer in Maryland with her obese egg obsessed mother,and her deranged son ""Crackers"". In the movie you will see such sick sights as sex with chickens, drag-queens, people eating feces, torture, and all other sorts of random humiliation. The film has a soundtrack from 60's rock and roll artists. The only problem is that some parts of the film seem to drag on and can get a little boring. I found ""Female Trouble"" a little more fun. Rated NC-17 for Explicit sex, violence, and disturbing images. Enjoy.",negative,0.589917466,first introduced john water film seeing female trouble ifc disgusted sick reason enjoyed picked pink flamingo dvd john water boxed set movie babs johnson filthiest person alive life trailer maryland obese egg obsessed motherand deranged son cracker movie see sick sight sex chicken dragqueens people eating feces torture sort random humiliation film soundtrack 60 rock roll artist problem part film seem drag get little boring found female trouble little fun rated nc17 explicit sex violence disturbing image enjoy
"This movie has very good acting by virtually all the cast, a gripping story with a chilling ending, great music, and excellent visuals without significant special effects. It is interesting to note though that, like so much science fiction, its predictions for the future don't appear likely to come to pass as early as depicted. That's not to say we're out of the woods yet, but 2022 is now obviously too soon to be in this condition. It shares this failing with a fairly illustrious list of science fiction classics: ""1984"", ""2001: A Space Odyssey (compare its space station with our International Space Station) and Isaac Asimov's ""I Robot"" (positronic brains were to have been invented in the 1990's).",negative,0.500866205,"movie good acting virtually cast gripping story chilling ending great music excellent visuals without significant special effect interesting note though like much science fiction prediction future appear likely come pas early depicted say wood yet two thousand twenty two obviously soon condition share failing fairly illustrious list science fiction classic one thousand , nine hundred eighty four two thousand one space odyssey compare space station international space station isaac asimov robot positronic brain invented 1990s"
"I can't help but notice the negative reviews this movie has gotten. To be honest, I saw the preview for this movie, and the premise looked intrigued me. Yes, I rented it after reading others' comments. They are correct in that some of the acting leaves a lot to be desired. They are also correct that one of the best performances of this movie was that of Dr. Graves.<br /><br />Also interesting is Scott Clark, who plays Grant, the kid in the wheelchair. I identify with the character he played, perhaps because I am in a wheelchair.<br /><br />This movie is certainly worth your looking at.",negative,0.576880822,help notice negative review movie gotten honest saw preview movie premise looked intrigued yes rented reading others comment correct acting leaf lot desired also correct one best performance movie dr gravesbr br also interesting scott clark play grant kid wheelchair identify character played perhaps wheelchairbr br movie certainly worth looking
