,text,length,readability
10,"Harry Kane and Eden Harzard lead the nominations as the Professional Footballers' Association announce their six-man shortlist for Young Player of the Year. Goalkeepers Thibaut Courtois and David de Gea and Liverpool midfielders Raheem Sterling and Philippe Coutinho complete the list of players - all aged 23 or under at the start of this season. The winners, voted for by their fellow professionals, will be announced at the awards ceremony in central London on April 26. Harry Kane has scored 19 league goals this season and has been nominated for PFA Young Player of the Year . Last year's winner Eden Hazard has been nominated for the award again after impressing for Chelsea . Manchester United goalkeeper David de Gea has been in fantastic form for Louis van Gaal's side this season . CLICK HERE to find out which six players have been nominated for the PFA Player of the Year award. Tottenham striker Kane has proved a revelation this season and has netted 30 goals in all competitions for club and country this season. The 21-year-old's form for Spurs has earned him international recognition and the forward scored just 79 seconds into his England debut against Lithuania last month. Last year's winner Hazard has played an instrumental role for Premier League leaders Chelsea this term and has scored 17 goals in all competitions for the Blues. Meanwhile no player has typified Liverpool's resurgence this season more than Philippe Coutinho. The Brazilian playmaker has been in inspired form for the Reds in the second half of the season. Raheem Sterling is Liverpool's leading goalscorer in the Premier League this season with seven . Thibaut Courtois has been superb for Chelsea during his first season in the Premier League . Playmaker Philippe Coutinho has been Liverpool's standout performer during second half of the season . Sterling, who has been caught up in controversy in recent days, has also been one of Liverpool's outstanding performers this season and is the club's leading scorer in the Premier League. De Gea and Courtois have earned many plaudits for their heroics in goal for respective clubs Manchester United and Chelsea this season. De Gea's performances for Louis van Gaal's side have led him to be linked with a move to Real Madrid, while Courtois has kept the experienced Petr Cech on the bench for most of the season.",393,10.5
11,"Prehistoric humans living in a cave 14,700 years ago were cannibals and made cups from the skulls of the dead, a new study has found. Researchers at the Natural History Museum in London and University College London have found evidence that the human bones found in Gough's Cave in Somerset had the flesh cut from them before being chewed and crushed. They found tooth marks on many of the bones, which were discovered in the cave during excavations between 1880 and 1992. Scroll down for video . This skull found at Gough's Cave in Somerset had been carefully shaped into a bowl around 14,700 years ago . Human skulls found in the cave had also been extenisvely shaped to create cups or bowls. The archaeologists behind the study say the findings suggest people living in the late Ice Age indulged in ritual cannibalism, perhaps as a macabre way to revere their dead kin. Simon Parfitt, an archaeologist from University College London, said: 'A recurring theme of this period is the remarkable rarity of burials and how commonly we find human remains mixed with occupation waste at many sites. There is growing evidence from around Europe that suggests preshistoric humans living at the time engaged in widespread cannibalism and other macabre rituals when dealing with their dead relatives. Stone Age farmers in Italy cut the flesh from the bones of their dead before burying them, a recent study found. Researchers at the University of Cambridge discovered cut marks on 7,000 year old human remains buried in a cave in Puglia, south eastern Italy. These cuts and scrapes, made with stone tools, suggest the skeletons had their flesh carefully removed in rituals before being placed in the cave. Archaeologists leading the research believe cleaning of the dead was probably the culmination of a protracted multi-stage burial process. Farmers from villages up to 12 miles away are thought to have brought their dead to the Scaloria Cave in the Tavoliere region of Italy . 'Further analysis along the lines used to study Gough's Cave will help to establish whether the type of ritualistic cannibalism practiced there is a regional phenomenon, or a more widespread practice found throughout the Magdalenian world.' Using modern radiocarbon techniques, researchers found the bones discovered in Gough's Cave were deposited over a very short period of time around 14,700 years ago - perhaps over just a few seasons. The humans who lived at the cave were a group of Cro-Magnon hunter-gatherers known as Magdalenians. It is thought these modern humans spread from southwest Europe and entered Britain from Belgium as the climate began to warm 15,000 years ago. The cave, which lies within Cheddar Gorge in Somerset, is around 295 metre deep. Human remains were first discovered there in the 1880s and in 1903 the remains of Britain's oldest complete human skeleton, known as Cheddar Man, was found there. A carving of a mammoth was also found in the cave along with thousands of flint tools. In the latest study, published in the Journal of Human Evolution, the researchers used three dimensional imaging techniques to examine the human remains found in the cave. They found scratches made by a stone cutting tool along with human teeth marks along the bones. The skulls also showed signs they had been stripped of their flesh before being broken and carefully shaped into a bowl. Several skulls and other bones (above) found at the cave showing distinctive human bite marks and cuts . Professor Chris Stringer holds the skull of Cheddar Man - the oldest most complete skeleton found in Britain . Dr Silvia Bello, who led the research at the Natural History Museum, said: 'We’ve identified a far greater degree of human modification than recorded in earlier. 'We’ve found undoubting evidence for defleshing, disarticulation, human chewing, crushing of spongy bone, and the cracking of bones to extract marrow.' She added: 'We find (cut marks) all over the skull and all over the face. 'We suspect that what they were doing was maticulously removing every single soft tissue on the skull. 'We have signs that indicate cutting of the lips, exctraction of the eyes and cheek and possibly cutting of the tongue as well. Skull fragments and facial bones found in Gough's Cave showed extensive cut marks that suggest the flesh was carefully cut away and now scientists believed the inhabitants in the cave indulged in ritual cannibalism . 'Once that was done it was possible to break and remove the facial bones and then very carefully going all the way along the skull doing some percussion or banging using a stone. 'It was a very careful process - they were really trying to create an object.' The gruesome treatment of human corpses at Gough's Cave mirrors similar finds at other ancient sites in central and western Europe. The researchers believe cannibalism may have been part of the customs of disposing of the dead. Professor Chris Stringer, an anthropologist who was involved in excavations at Gough's Cave during the 1980s and 1990s, said despite practicing cannabilism, these people were not much different from us today. He said: 'These people were Cro-Magnons - the people who lived in Europe in the last ice age. 'They were modern people, physically very like us, a bit more strongly built.'",883,10.8
12,"Newcastle supporters have been encouraged to stand up   in protest against Mike Ashley’s running of the club when they face Swansea at St James’ Park on Saturday. Fans group AshleyOut.com was behind last Sunday’s boycott of the 3-1 defeat at home to Spurs, which saw at least 10,000 supporters stay away as their side lost a sixth game on the spin. And now they are encouraging fans to ‘Stand Up To Ashley’ this weekend. Newcastle announced record profits of £18.7million earlier this month before revealing that a further £34m is sat in the bank. Newcastle United fans have planned a mass protest against owner Mike Ashley on Saturday afternoon . At least 10,000 supporters stayed away from St James' Park for the club's last home game against Spurs . Fans are unhappy at the club's lack of ambition, despite owner Ashley having £34million in the bank . Fans are upset and alarmed at what they see as a lack of investment and ambition which has left them with a threadbare squad in danger of relegation. A statement from AshleyOut.com read: ‘For those fans wishing to attend the Swansea game, we request them to #StandUpToAshley after 34 minutes of the game, to represent the fact that having no manager and a threadbare squad devoid of quality, yet having £34m in the bank is not an acceptable situation.’ They added: ‘We have seen a vast increase of awareness for Mike Ashley’s failed ownership of Newcastle United in the local and national media and amongst fans who were previously resigned to apathy. ‘These fans have now hopefully found a vehicle to express their profound dissatisfaction with the situation the club finds itself in, which is essentially one of a proud sporting institution transformed into a giant advertising vehicle.’ And the protest – which is backed by the respected Newcastle United Supporters Trust – also plans to target Ashley’s Sports Direct stores. The statement continued: ‘Secondly, from 12:30pm on Saturday we will target Sports Direct stores within a 20-mile radius of St. James’ Park and their flagship Oxford Street store by means of a peaceful protest. The supporters' group have asked fans to stand in the 34th minute of Saturday's  match against Swansea . Fans boycotting the Spurs match hold banners demanding the resignation of Ashley as Newcastle director . Newcastle supporters have also been asked to take part in peaceful protests outside Sports Direct stores . ‘Further details regarding this protest will be released shortly but we wish to emphasise that this must be a peaceful protest and is aimed at Mike Ashley and the shareholders of Sports Direct International plc. ‘This protest is not aimed at the innocent staff members often working with minimal employment rights on zero hours contracts and they must be respected and supported at all times. ‘This protest will be coordinated with supporters of Rangers Football Club who will target stores in the vicinity of Ibrox.’",488,10.3
13,"The brother of Boney M's lead singer Liz Mitchell has been arrested in connection with the killing of a Syrian-born imam. Burnell 'Bernie' Mitchell - who changed his name to Khalid Rashad after converting to Islam - has been held on suspicion of conspiracy to murder after the death of Abdul Hadi Arwani, a Syrian national. The 61-year-old has also been arrested on suspicion of preparing and instigating acts of terrorism as Scotland Yard detectives  continue to investigate Mr Arwani's shooting. A 36-year-old man has been charged with his shooting while a woman, aged 53, was arrested this in Brent on suspicion of terrorism offences. Burnell 'Bernie' Mitchell - also known as Khalid Rashad - (left) has been arrested on suspicion of conspiracy to murder and terrorism offences. His sister is Liz Mitchell (right),  lead singer of the 1970s band Boney M . Syrian-born 48-year-old Abdul Hadi Arwani (pictured) was found dead in his car on Tuesday. One man has been charged with his murder while Mitchell is held on suspicion of conspiracy to murder . Mr Mitchell, who founded An Noor Mosque in Acton where Mr Arwani was a preacher until 2011, was arrested on Wednesday night on suspicion of conspiracy to murder. On Thursday afternoon Scotland Yard revealed they had further arrested the Jamaican national on suspicion of terrorism offences. His sister is the singer Liz Mitchell who fronted the 1970s band Boney M and whose hits include Rasputin and Daddy Cool. A spokesman for the singer declined to comment today. The siblings were raised in Britain as strict Christians, having fled the Caribbean as children. Last night Mr Mitchell's home was searched at the same time as An-Noor Mosque which he founded more than 20 years ago because 'he and his Muslim friends had nowhere to go'. They are investigating the death of Mr Arwani, a 48-year-old Syrian national who was found killed in his car last week. Search: Police visited the Wembley home of Burnell Mitchell, a director of the mosque where Mr Arwani used to preach regularly . Leslie Cooper, left, has appeared in court charged with murdering iman Abdul Hadi Arwani, right. The 61-year-old is a businessman from Jamaica . Within days of Mr Arwani's body being found last week, Metropolitan Police drafted in the help of Counter Terrorism officers 'because of their expertise in the management of investigations with international dimensions and an established liaison network abroad'. Today a spokesman confirmed searches were ongoing at the An Noor mosque. 'Officers are fully aware of the sensitivities of conducting this search at this time and would like to thank the local Muslim community for their support and patience thus far in the necessary investigations that have occurred to date,' a Scotland Yard spokesman said. 'This remains a murder investigation and a search for the truth; it is therefore vital that the investigation is thorough which includes a detailed searches of premises.' Today the Old Bailey heard how Mr Arwani  he was killed  after being lured to north London to meet a potential client for his building company. It was then the 48-year-old was murdered by 36-year-old Leslie Cooper, a prosecutor told a judge during a pre-trial hearing. The Jamaican businessman, who was arrested while his family enjoyed a barbecue, did not enter a plea, appearing via video link from prison. ‘A member of the public noticed he had collapsed at the wheel and the car was running that morning’, prosecutor Oliver Glasgow said. Mr Arwani was described as 'the most peaceful man you could wish to meet' by his family last week . Police pictured outside the An Noor mosque in north west London while searching the premises. Mitchell was listed as a director of the mosque where Mr Arwani used to preach . Mr Arwani was found dead last week in this Volkswagen Passat on a street in Wembley. Police believed he visited the scene in the days before his death . ‘Concerned for his health, they contact police and paramedics who discovered Mr Arwani had been shot five times and was already dead.’ Mr Glasgow said Mr Arwani and his son, who was also part of the building firm, had met a man called ‘John’ two days earlier over a possible renovation job. ‘They collected the individual on April 5 and were taken to the property in Wembley but he explain they couldn’t get access to the premises because his wife was not there’, he said. ‘Arrangements were made to come back and view the property some days later..’ Hassan Anyabwile (pictured last week) was brought in to replace Mr Arwani at An Noor Mosque . Mr Arwani rearranged the viewing for April 7, said Mr Glasgow, and was last seen alive leaving his family home at 9.30am to go to meet the man called John. ‘There was no further contact with the deceased and his family’, he added. Cooper did not speak during the hearing other than to confirm his name. He has not yet entered a plea to one charge of murder. He is one of three people to have been arrested in connection with Mr Arwani’s death. Alongside Mr Mitchell is a 53-year-old woman arrested on Thursday morning on suspicion of terrorism offences. Mr Arwani was a preacher at An Noor mosque in Acton until 2011 when he left under reportedly frayed tensions. The father of six was described by relatives as 'the most peaceful man you could wish to meet' upon the news of his death last week. One of his sons said he 'actively' fought extremism while friends added he was a vocal critic of the President Assad's government. He is thought to have fled Syria as a teenager after being told he would face violence to photographing damage in his home city of Hama. Speaking after his father's murder, Murhaf Arwani said: 'He just loved to help people. He did not care what your background, race or status was. 'He did not care if you were rich or poor. He just wanted to help people in need. 'He spoke up and out against the crime of terror and oppression wherever he found it. He was an advocate of peace for all and he showed us this in the way he lived his life from day to day.' Last week the Caribbean preacher who replaced Mr Arwani at An Noor Mosque denied claims the 48-year-old had left under strained relationships. Hassan Anyabwile, who was involved in an attempted coup d'etat in his native Trinidad and Tobago 25 years ago with the Muslim group Jamaat al Muslimeem, told MailOnline he knew nothing of a reported dispute between Mr Arwani and the mosque. Asked about the 48-year-old's death he said: 'All I can say is from Allah we come, and to Allah we return.' He was assisted into the mosque - which currently remains closed as officers search its premises - by a bodyguard after becoming partially disabled. Sorry we are not currently accepting comments on this article.",1169,8.7
14,"(CNN)Donald Sterling's racist remarks cost him an NBA team last year. But now it's his former female companion who has lost big. A Los Angeles judge has ordered V. Stiviano to pay back more than $2.6 million in gifts after Sterling's wife sued her. In the lawsuit, Rochelle ""Shelly"" Sterling accused Stiviano of targeting extremely wealthy older men. She claimed Donald Sterling used the couple's money to buy Stiviano a Ferrari, two Bentleys and a Range Rover, and that he helped her get a $1.8 million duplex. Who is V. Stiviano? Stiviano countered that there was nothing wrong with Donald Sterling giving her gifts and that she never took advantage of the former Los Angeles Clippers owner, who made much of his fortune in real estate. Shelly Sterling was thrilled with the court decision Tuesday, her lawyer told CNN affiliate KABC. ""This is a victory for the Sterling family in recovering the $2,630,000 that Donald lavished on a conniving mistress,"" attorney Pierce O'Donnell said in a statement. ""It also sets a precedent that the injured spouse can recover damages from the recipient of these ill-begotten gifts."" Stiviano's gifts from Donald Sterling didn't just include uber-expensive items like luxury cars. According to the Los Angeles Times, the list also includes a $391 Easter bunny costume, a $299 two-speed blender and a $12 lace thong. Donald Sterling's downfall came after an audio recording surfaced of the octogenarian arguing with Stiviano. In the tape, Sterling chastises Stiviano for posting pictures on social media of her posing with African-Americans, including basketball legend Magic Johnson. ""In your lousy f**ing Instagrams, you don't have to have yourself with -- walking with black people,"" Sterling said in the audio first posted by TMZ. He also tells Stiviano not to bring Johnson to Clippers games and not to post photos with the Hall of Famer so Sterling's friends can see. ""Admire him, bring him here, feed him, f**k him, but don't put (Magic) on an Instagram for the world to have to see so they have to call me,"" Sterling said. NBA Commissioner Adam Silver banned Sterling from the league, fined him $2.5 million and pushed through a charge to terminate all of his ownership rights in the franchise. Fact check: Donald Sterling's claims vs. reality . CNN's Dottie Evans contributed to this report.",386,8.4
15,"Gary Field, pictured,  was seen at a Ukip event in South Thanet awaiting the arrival of Nigel Farage . Nigel Farage was at the centre of fresh controversy last night after National Front members turned up to campaign for him in the South Thanet constituency. The row started after a group of far-Right supporters calling themselves the East Kent English Patriots supported Mr Farage at an event in Broadstairs on Friday evening. They were led by Gary Field, a former regional organiser for the English Defence League, and enjoyed the protection of Ukip’s security teams, which encircled the Broadstairs Pavilion. Mr Field, who has a criminal record for assault, drank beers behind the cordon with fellow members of his group and gestured to onlookers as a crowd waited for Mr Farage’s arrival. Yesterday, Mr Farage’s Labour opponent in South Thanet, Will Scobie, claimed a group of his campaigners had been attacked by National Front members chanting for Ukip in Broadstairs late on Friday. When Mr Farage realised that Mr Field and his supporters had been seen by this newspaper on Friday evening, he moved quickly to disown them, saying: ‘Members of an extremist group today arrived at a Ukip public meeting at the same time as a Mail on Sunday camera arrives.’ Mr Farage’s comments triggered a war of words with the patriots group, which immediately posted a message saying: ‘We went to Ukip meeting with members of Kent NF and after the meeting Nigel Farage went on Twitter saying we have far right extremists here... the question is nig, do you want our vote or not?’ An anti-Ukip campaigner, Bunny La Roche, claims she was followed into a cafe by Mr Field earlier this month after she turned up to protest at a Ukip rally in Margate on April 11. She has reported him to police for alleged assault after he sprayed Lynx deodorant in her face. Shortly after the incident, Mr Field posted offensive messages about Mr Scobie, writing: ‘Will scobie you are a liebour [sic] paedo supporting ponse you won’t beat ukip in south thanet you dirty little scummy traitor.’ He added: ‘I have the lynx effect on lefties.’ Gary Field, in the white hat,  said he was opposed to the 'stand up to Ukip group' and the extreme left . Mr Field is a former regional organiser of the EDL and was waiting for Ukip leader Nigel Farage, pictured . Mr Field was tagged in 2013 for breaching a community service order after being found guilty of assault. Mr Field said yesterday: ‘I am against Labour and oppose the stand-up to Ukip group. I did spray her [Bunny] with deodorant. It was just banter. ‘She and her people are on the extreme Left. I am not a member of any political party and I don’t intimidate people.’ A Ukip spokesman said: ‘We don’t know who Gary Field is, and therefore we have no responsibility for the actions he takes or the events that he attends. We have made our stance on extremist groups clear. We have no truck with them. End of.’",516,9.3
16,"Scottish Nationalists threatened to paralyse the UK government by blocking ‘any bit of spending’ they do not agree with. The threat came as Angela Eagle, Labour’s shadow leader of the Commons, revealed it was prepared to speak to any other party in a hung Parliament – including the SNP – to ‘try to build a majority’. But the SNP, forecast to hold the balance of power with 50 or more MPs, suggested it would hold Ed Miliband to ransom if he refuses to scrap the Trident nuclear defence programme. The Scottish Nationalists, led by Nicola Sturgeon, have threatened to paralyse the UK government by blocking ‘any bit of spending’ they do not agree with . The SNP’s deputy leader Stewart Hosie told the BBC’s Daily Politics that in the absence of a formal deal with Labour, the SNP would be ‘entitled to vote against any bit of legislation’ and ‘any bit of spending’ it does not agree with. He said that the SNP could vote against so-called ‘Parliamentary estimates’, which authorise Government departments’ spending commitments. ‘If we didn’t agree with a bit of spending then of course we could vote against that. I certainly wouldn’t be happy if Trident was renewed,’ he said. Senior Conservatives warned that the SNP’s threat to veto public spending across entire departments unless it gets its way could even lead to a US-style government shutdown. The threat came as Angela Eagle, Labour’s shadow leader of the Commons, revealed it was prepared to speak to any other party in a hung Parliament – including the SNP – to ‘try to build a majority’ As Scotland moved to the centre of the election campaign: . ■ Mr Cameron pledged a controversial annual review of the fairness of Scottish government policies on the rest of the UK. ■ Nick Clegg questioned the ‘legitimacy’ of a government led by a party that finishes second. ■ Tory HQ prepared to deploy Boris Johnson and Sir John Major to energise its campaign. ■ George Osborne unveiled plans for a £10billion shares bonanza by selling off discounted shares in Lloyds Bank. ■ Ed Balls prompted fears of tax increases on businesses and middle earners if Labour regains power. ■ Labour prepared to step up warnings about Tory ‘privatisation’ of the NHS. David Cameron warned the idea of Scotland’s First Minister Nicola Sturgeon holding sway over a ‘weak’ Labour leader in a hung Parliament was a ‘frightening prospect’. The Prime Minister insisted the SNP ‘wouldn’t care’ about slashing services for voters in England and Wales – and insisted the only way to stop the party was to return a Conservative government. He issued a plea to Ukip and Lib Dem voters to lend their support to the Tories to prevent ‘Ed Miliband, propped up by Nicola Sturgeon, demanding ever more borrowing and more taxes’. David Cameron warned the idea of Scotland’s First Minister Nicola Sturgeon holding sway over a ‘weak’ Labour leader in a hung Parliament was a ‘frightening prospect’ ‘A group of nationalists from one part of our country would be involved in altering the direction of the government of our country and I think that is a frightening prospect,’ Mr Cameron said. ‘For people thinking in their own constituencies “is that bypass going to be built, will my hospital get the money it needs?” – frankly, this is a group of people that wouldn’t care about what happened in the rest of the country.’ Miss Sturgeon said yesterday she expected the SNP to be in a ‘very powerful’ position after May 7. She insisted SNP MPs would be prepared to vote on English matters, such as the NHS and education – breaking the party’s previous commitment not to vote on issues which are controlled by the Scottish Parliament. Miss Sturgeon insisted she would never support the Conservatives in government, but indicated that she is ready to put Mr Miliband in Number Ten even if Labour wins fewer seats at the election. Labour has ruled out a formal deal with the SNP, but repeatedly refused to rule out a looser arrangement. Outlining an ‘alternative vision’ for Britain that could be implemented in co-operation with Labour, Miss Sturgeon will today unveil a manifesto to ‘end austerity’ with a £180billion debt-fuelled spending spree. On the prospect of negotiating with the SNP, Angela Eagle, Labour’s shadow leader of the Commons, told the BBC’s Sunday Politics: ‘We’ll speak to any party that has got representation in the House of Commons in order to try and build a majority for a Queen’s Speech that the country desperately needs for a change of government.’ A senior Labour source sought to downplay Miss Eagle’s remarks, saying there would be a ‘clear majority’ for Trident renewal in any circumstances because of the support of almost all Conservative MPs. Conservative Party chairman Grant Shapps said: ‘The SNP are threatening to hold Britain to ransom to guarantee an Ed Miliband government gives them what they want – weaker defences, more borrowing, more debt and more taxes.’",834,12.8
17,"Hector Bellerin is fast becoming seen by fans, and possibly even by his manager, as Arsenal's premier right back, after impressing in the absence of Mathieu Debuchy. The young Spaniard scored his second Premier League goal, cutting inside and curling left-footed past Simon Mignolet, in the 4-1 win over Liverpool last weekend, and is developing a reputation as a player capable of becoming a top-level full back. But, it seems, in the dressing room, it is his status as the club's premier sprinter, rather than as a defender, that is most in question, after he beat Theo Walcott's 40 metre club sprint record last summer. Hector Bellerin scored a brilliant goal to put Arsenal ahead against Liverpool last weekend at the Emirates . Bellerin has emerged as a star player after filling in for the injured Mathieu Debuchy at right back this season . 'We were just having a test and then they told me I was the fastest at the club,' Bellerin told The Telegraph. 'I did not beat it by that much. There was a bit of banter and he is trying to beat me now.' Bellerin shaved a hundredth of a second off Walcott's time, prompting the 26-year-old winger to vow to reclaim his title at the end of the season. And since then he has gone on to establish himself as a right-back of some promise, progressing well beyond Arsene Wenger's expectations. 'I am happy that now, after not so good performances in the beginning, the coach has still put confidence in me and given me minutes. Bellerin has exceptional pace, as he proved in August when he set a new Arsenal record over 40 metres . Theo Walcott had previously held the record, but Bellerin shaved one hundredth of a second off his time . But Walcott is determined to take his record back from Bellerin this summer and be speed king again . 'The chances always come through injuries, which is not a nice thing. Now we are going to have Debuchy back and I am happy for him, but when you get your chance, you need to do the best you can. I have done my best to take this opportunity.' With Debuchy on the verge of match fitness, Bellerin will soon find out whether he has done enough to grab that opportunity. But after his brilliant goal at the Emirates stadium last weekend, one thing is for certain - he is no longer known just for being quick over 40 metres.",419,9.4
18,"As well as moving Aston Villa up one place in the Premier League table on Tuesday night, Christian Benteke's hat-trick against QPR was also a triumph for the top-flight's Belgian contingent. The 24-year-old's treble accounted for the 46th, 47th and 48th goals scored by players from Belgium this season, making them the third most prolific nation in the division. Benteke's goals - which arrived in a memorable 3-3 draw at Villa Park - moved Belgium above France (46 goals) and within 19 of second-placed Spain (67 goals). Aston Villa striker Christian Benteke celebrates after scoring his third goal against QPR on Tuesday . Benteke's hat-trick earned Villa a point and moved Belgium into third place for Premier League goals this term . Eden Hazard has helped Belgium's cause with with 12 goals for Chelsea - including this penalty against Stoke . Belgium's total has been aided by the form of Chelsea's Eden Hazard, who has struck 12 times in the Premier League to help Jose Mourinho's men to the top of the table. Tottenham winger Nacer Chadli and Everton striker Romelu Lukaku - both of whom are international team-mates of Benteke and Hazard - have also chipped in with eight goals apiece, while Kevin Mirallas, Marouane Fellaini, Mousa Dembele and Toby Alderweireld have also been on target. Spain have the likes of Chelsea's Diego Costa (19 goals) and Manchester City playmaker David Silva (11 goals) to thank for their tally, although they still sit miles behind runaway leaders England. Diego Costa scores one of the 67 goals scored by players with Spanish nationality against Southampton . Manchester City midfielder David Silva has netted 11 top-flight goals so far this season . A total of 255 goals have been scored by 81 different English players during the current campaign, with Tottenham's latest hero Harry Kane (19) and QPR hitman Charlie Austin (17) leading the way. Three Lions captain Wayne Rooney and Under 21 star Saido Berahino have both netted 12 goals this season, with Liverpool trio Steven Gerrard, Jordan Henderson and Raheem Sterling pitching in with six goals each. France sit fourth on the list, boosted by 14 goals from Arsenal forward Olivier Giroud and five each from Swansea's Bafetimbi Gomis and Chelsea striker Loic Remy. Harry Kane has contributed to England's tally of 255 goals this season with 19 strikes for Tottenham . QPR striker Charlie Austin netted the most recent goal scored by an Englishman against Villa on Tuesday . Olivier Giroud, pictured celebrating a goal against Liverpool, is the top-scoring Frenchman so far this season . Argentina complete the top five on 37 goals, the vast majority of which have arrived from Manchester City's main man Sergio Aguero (17 goals). Senegal (35 goals), Scotland (28) and Ivory Coast (22) come next on the list, with Holland (19), Brazil (18), the Republic of Ireland (18) and Chile (17) - helped by the goalscoring form of Alexis Sanchez - further down. Players from 46 countries have found the back of the net this season, with a total of 800 goals scored so far. England 255 . Spain 67 . Belgium 48 . France 46 . Argentina 37 . Senegal 35 . Scotland 28 . Ivory Coast 22 . Holland 19 . Brazil 18 . Republic of Ireland 18 . Chile 17 . Croatia 11 . Serbia 11 . Denmark 10 . Italy 10 . Nigeria 10 . Wales 9 . Austria 8 . Germany 8 . South Korea 7 . Iceland 5 . Montenegro 5 . Uruguay 5 . Bosnia 4 . Colombia 4 . Ecuador 4 . Cameroon 3 . Ghana 3 . Kenya 3 . Sweden 3 . Algeria 2 . Czech Republic 2 . New Zealand 2 . Egypt 2 . Norway 2 . Togo 2 . Benin 1 . Congo DR 1 . Jamaica 1 . Japan 1 . Poland 1 . Portugal 1 . Morocco 1 . Northern Ireland 1 . Slovakia 1 .",659,9.5
19,"A convicted California serial killer who went on a nine-day rampage that claimed the lives of four people has been denied parole and cannot reapply for seven years. Brett Matthew Paul Thomas, now 56, and his friend, Mark Titch, were convicted in 1977 after committing the murders during robbery or burglary attempts in Orange County. Thomas, who was 18 at the time, and Titch, who was 17, were both sentenced to life with the possibility of parole. Titch died behind bars last year. Scroll down for video . Denied parole: Brett Matthew Paul Thomas(pictured), who was 18 (left) at the time of his nine-day killing spree and who is now 56 (right), was denied parole and cannot reapply for seven years . Took her family: Lynette Duncan waits before giving a statement for the denial of parole for Brett Thomas, one of two teenagers who murdered her father and sister 33 years ago . The two were neighbors at a Stanton apartment complex that the police had dubbed 'The Zoo' because of the criminal activity there, City News Service reported. Their first victim was Laura Stoughton, 20, who interrupted the pair on Jan. 21, 1977, as they were breaking into her home. They abducted her and drove to an abandoned field, where Titch shot her at close range with a stolen .22-caliber rifle. Three days later, the two killed Ephraim Jacob Christian, 35, during a botched robbery at Rockview Dairy. Five days after that, Thomas and Titch followed the owner of a billiards hall to his home with a plan to rob him. They gunned down Aubrey Duncan at his home, and then shot his 18-year-old daughter, Denise, in the heart after her mother opened the door to find out what was going on. Horrified: Lynette Duncan, one of the surviving daughters of Aubrey Duncan, still remembers telling her sister that her father and Denise were dead, she said . Duncan's wife and two other daughters survived, as did an 11-year-old daughter who was at a neighbor's house. Police caught up with Thomas and Titch the following month in neighboring San Bernardino County, where they were driving around in a stolen car. At a press conference before Friday's parole hearing, Orange County District Attorney Tony Rackauckas said Thomas was 'a serial murderer who has not and cannot reform.' Lynette Duncan, one of the surviving daughters of Aubrey Duncan, still remembers telling her sister that her father and Denise were dead, she said. 'That was the day she learned that the boogeyman was real and evil really did exist, and its name is Brett Thomas,' Duncan said, according to the Orange County Register. Dead:  Mark Titch (pictured), who was 17 (left) at the time of the killing was sentenced to life with the possibility of parole but died behind bars last year at the age of 55 (right) On Friday, Prosecutors and relatives of the victims headed to a San Diego courthouse for the hearing to urge the parole board to grant a 15-year window before Thomas can apply for parole. 'When you do this, you relive all the pain, it comes right out onto the page,' Duncan said on Friday. 'Then I've gotta sit 15 feet from evil and be in the same room as evil ... It's hard,' she said. Duncan said attending the parole hearing is not as hard as seeing her family's murderer on the street. 'This is hard, but living with him out on the street is going to be a whole lot harder,' Lynette Duncan said of Brett Matthew Paul Thomas. 'So I will continue to appear at every parole hearing until he dies or I do,' Duncan said as she joined prosecutors in court.",620,8.6
