paths,target
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated3-rotated1-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated3-rotated1-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated3-rotated2-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated3-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated3-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/10.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated1-rotated1-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated1-rotated1-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated1-rotated1-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated1-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated1-rotated2-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated1-rotated2-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated1-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated1-rotated3-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated1-rotated3-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated2-rotated1-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated2-rotated1-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated2-rotated2-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated2-rotated2-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated2-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated2-rotated3-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated2-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated3-rotated1-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated3-rotated1-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated3-rotated2-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/100.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated1-rotated1-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated1-rotated1-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated1-rotated2-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated1-rotated3-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated1-rotated3-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated1-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated2-rotated1-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated2-rotated1-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated2-rotated1-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated2-rotated2-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated2-rotated2-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated2-rotated3-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated2-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated3-rotated1-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated3-rotated1-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated3-rotated2-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated3-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated3-rotated3-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated3-rotated3-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated3-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/101.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated1-rotated1-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated1-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated1-rotated2-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated1-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated1-rotated3-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated1-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated2-rotated1-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated2-rotated2-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated2-rotated2-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated2-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated2-rotated3-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated2-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated3-rotated1-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated3-rotated1-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated3-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated3-rotated2-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated3-rotated2-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated3-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated3-rotated3-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated3-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/102.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated1-rotated1-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated1-rotated1-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated1-rotated1-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated1-rotated2-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated1-rotated2-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated1-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated1-rotated3-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated1-rotated3-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated1-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated2-rotated1-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated2-rotated1-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated2-rotated1-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated2-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated2-rotated2-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated2-rotated2-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated2-rotated2-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated2-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated2-rotated3-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated3-rotated1-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated3-rotated1-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated3-rotated2-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated3-rotated2-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated3-rotated2-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated3-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated3-rotated3-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated3-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/103.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated1-rotated1-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated1-rotated1-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated1-rotated1-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated1-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated1-rotated2-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated1-rotated2-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated1-rotated2-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated1-rotated3-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated1-rotated3-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated2-rotated1-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated2-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated2-rotated2-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated2-rotated2-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated2-rotated3-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated2-rotated3-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated2-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated3-rotated1-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated3-rotated1-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated3-rotated2-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated3-rotated2-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated3-rotated3-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated3-rotated3-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated3-rotated3-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated1-rotated1-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated1-rotated2-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated1-rotated2-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated1-rotated3-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated1-rotated3-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated1-rotated3-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated2-rotated1-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated2-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated2-rotated2-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated2-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated2-rotated3-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated2-rotated3-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated3-rotated1-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated3-rotated1-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated3-rotated1.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated3-rotated2-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated3-rotated2.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated3-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated3.jpg,fracture
C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/106-rotated1-rotated1-rotated1.jpg,fracture
